Year,Winner,Finalist
1995,Parme FC,Juventus 
1996,Bayern Munich,Girondins de Bordeaux 
1997,Schalke 04,Inter Milan 
1998,Inter Milan,Lazio Rome 
1999,Parme FC,Olympique de Marseille 
2000,Galatasaray,Arsenal FC 
2001,Liverpool FC,Deportivo Alavés 
2002,Feyenoord Rotterdam,Borussia Dortmund 
2003,FC Porto,Celtic Glasgow 
2004,Valence CF,Olympique de Marseille 
2005,CSKA Moscou,Sporting CP 
2006,Séville FC,Middlesbrough FC 
2007,Séville FC,Espanyol de Barcelone 
2008,Zénith Saint-Pétersbourg,Glasgow Rangers 
2009,Chakhtar Donetsk,Werder Brême 
2010,Atlético de Madrid,Fulham FC 
2011,FC Porto,SC Braga 
2012,Atlético de Madrid,Athletic Club 
2013,Chelsea FC,Benfica Lisbonne 
2014,Séville FC,Benfica Lisbonne 
2015,Séville FC,FK Dnipro 
2016,Séville FC,Liverpool FC 
2017,Manchester United,Ajax Amsterdam 
2018,Atlético de Madrid,Olympique de Marseille 
2019,Chelsea FC,Arsenal FC 
2020,Séville FC,Inter Milan 
2021,Villarreal CF,Manchester United 
